district,percentage,district,majority
"Somerset Area SD",0.02,"Somerset Area SD",White
"South Eastern SD",0.02,"South Eastern SD",White
"Trinity Area SD",0.02,"Trinity Area SD",White
"Tri-Valley SD",0.02,"Tri-Valley SD",White
"Tussey Mountain SD",0.02,"Tussey Mountain SD",White
"Tyrone Area SD",0.02,"Tyrone Area SD",White
"Union City Area SD",0.02,"Union City Area SD",White
"Upper Adams SD",0.02,"Upper Adams SD",White
"Upper Merion Area SD",0.02,"Upper Merion Area SD",White
"Upper Moreland Township SD",0.02,"Upper Moreland Township SD",White
"Wattsburg Area SD",0.02,"Wattsburg Area SD",White
"West Branch Area SD",0.02,"West Branch Area SD",White
"West Greene SD",0.02,"West Greene SD",White
"West Middlesex Area SD",0.02,"West Middlesex Area SD",White
"West Mifflin Area SD",0.02,"West Mifflin Area SD",White
"West York Area SD",0.02,"West York Area SD",White
"Whitehall-Coplay SD",0.02,"Whitehall-Coplay SD",White
"Williamsburg Community SD",0.02,"Williamsburg Community SD",White
"Wyomissing Area SD",0.02,"Wyomissing Area SD",White
"Abington SD",0.01,"Abington SD",White
"Allegheny Valley SD",0.01,"Allegheny Valley SD",White
"Avon Grove SD",0.01,"Avon Grove SD",White
"Avonworth SD",0.01,"Avonworth SD",White
"Bedford Area SD",0.01,"Bedford Area SD",White
"Berlin Brothersvalley SD",0.01,"Berlin Brothersvalley SD",White
"Brandywine Heights Area SD",0.01,"Brandywine Heights Area SD",White
"Centennial SD",0.01,"Centennial SD",White
"Central Bucks SD",0.01,"Central Bucks SD",White
"Chartiers Valley SD",0.01,"Chartiers Valley SD",White
"Claysburg-Kimmel SD",0.01,"Claysburg-Kimmel SD",White
"Conestoga Valley SD",0.01,"Conestoga Valley SD",White
"Council Rock SD",0.01,"Council Rock SD",White
"Downingtown Area SD",0.01,"Downingtown Area SD",White
"Freeport Area SD",0.01,"Freeport Area SD",White
"Governor Mifflin SD",0.01,"Governor Mifflin SD",White
"Hampton Township SD",0.01,"Hampton Township SD",White
