district,percentage
"Lampeter-Strasburg SD",0.02
"West Greene SD",0.02
"Richland SD",0.02
"Owen J Roberts SD",0.02
"Riverside Beaver County SD",0.02
"Cambria Heights SD",0.02
"Upper Merion Area SD",0.02
"Shaler Area SD",0.02
"Brandywine Heights Area SD",0.01
"Greencastle-Antrim SD",0.01
"Manheim Township SD",0.01
"Lancaster SD",0.01
"Governor Mifflin SD",0.01
"Pennridge SD",0.01
"Ridley SD",0.01
"North Clarion County SD",0.01
"Bedford Area SD",0.01
"Laurel SD",0.01
"North Penn SD",0.01
"Freeport Area SD",0.01
"Pequea Valley SD",0.01
"Beaver Area SD",0.01
"Wilson SD",0.01
"Greenville Area SD",0.01
"Great Valley SD",0.01
"Lewisburg Area SD",0.01
"Burrell SD",0.01
"Conestoga Valley SD",0.01
"Northwestern Lehigh SD",0.01
"Spring-Ford Area SD",0.01
"Avon Grove SD",0.01
"Titusville Area SD",0.01
"Peters Township SD",0.01
"Claysburg-Kimmel SD",0.01
"Chartiers Valley SD",0.01
"Centennial SD",0.01
"Berlin Brothersvalley SD",0.01
"Keystone Oaks SD",0.01
"Danville Area SD",0.01
"Interboro SD",0.01
"Plum Borough SD",0.01
"Rose Tree Media SD",0.01
"West Chester Area SD",0.01
"Allegheny Valley SD",0.01
"Abington SD",0.01
"Riverview SD",0.01
"Colonial SD",0.01
"Springfield Township SD",0.01
"Baldwin-Whitehall SD",0.01
"Pennsbury SD",0.01
"Central Bucks SD",0.01
"Girard SD",0.01
"Avonworth SD",0.01
"Phoenixville Area SD",0.01
"Seneca Valley SD",0.01
"Montour SD",0.01
"Hampton Township SD",0.01
"Perkiomen Valley SD",0.01
"Council Rock SD",0.01
"North Hills SD",0.01
"Methacton SD",0.01
"Southern Lehigh SD",0.01
"West Allegheny SD",0.01
"Juniata Valley SD",0.01
"Fox Chapel Area SD",0.01
"Souderton Area SD",0.01
"Forest Hills SD",0.01
"South Fayette Township SD",0.01
"North Allegheny SD",0.01
"Fairview SD",0.01
"Brockway Area SD",0.01
"Marple Newtown SD",0.01
"Unionville-Chadds Ford SD",0.01
"Harmony Area SD",0.01
"Downingtown Area SD",0.01
"Bethel Park SD",0.01
"State College Area SD",0.01
"Hatboro-Horsham SD",0.01
"Upper Dublin SD",0.01
"Pine-Richland SD",0.01
"Wallingford-Swarthmore SD",0.01
"Dallastown Area SD",0.01
"Wissahickon SD",0.01
"Quaker Valley SD",0.01
"West Jefferson Hills SD",0.01
"Kennett Consolidated SD",0.01
"Springfield SD",0.01
"South Side Area SD",0.01
"Lower Moreland Township SD",0
"New Hope-Solebury SD",0
"Mt Lebanon SD",0
"Lower Merion SD",0
"Garnet Valley SD",0
"Haverford Township SD",0
"Jenkintown SD",0
"Tredyffrin-Easttown SD",0
"Upper St. Clair SD",0
"Radnor Township SD",0
"Blackhawk SD",0
"Austin Area SD",0
